int_id	url	left	result	right	a1	b1	center1	center2	center3	center4	year	birth	loc	genrei	author	source	corp_index	sub_query_index	id	group_id	compose_doc_id
22	http://m.livejournal.com/read/user/noldor/8938	каким-то стоящим причинам , то из него может вывести добрая улыбка	от уха до уха	и позитивное времяприпровождение с другом = ) з.з.ы . научите кто-нибудь спать по	уха	уха	от	уха	до	уха	2007	1986	Воронеж	blog	noldor	lj	41	72306	24932029		39_279230
23	http://m.livejournal.com/read/user/r_strannik/7497	выходить на неоплачиваемые полевые работы , которые в интернате обычно длились	от зари до зари	. Вовченко действительно набросился на медсестру , но потому , что та хотела	зари	зари	от	зари	до	зари	2011	0000	Украина	blog	r_strannik	lj	41	72306	28168657		39_284150
24	http://m.livejournal.com/read/user/conspiransa/171969/comments/p6	друзьях , о прогулках , играх , фильмах , книгах , вспоминается только постоянное монотонное "	от бортика до бортика	" , 10 раз , 25 , 50 ... потом в темноте по холоду с	бортика	бортика	от	бортика	до	бортика	2012	0000	Москва	blog	viann	lj	41	72306	35808730		39_377274
25	http://m.livejournal.com/read/user/viann/64396	еще больше . Сдавала только выпускные . А потом еще в институте :	от сессии до сессии	живут студенты весело ... Сессии мне до сих пор снятся во	сессии	сессии	от	сессии	до	сессии	2012	0000	Москва	blog	viann	lj	41	72306	35808800		39_377344
26	http://m.livejournal.com/read/user/01eg/127846	во двор , и хоть велик он , да заполонили его люди	от края до края	. Стоят , шумят , барина до себя требуют . А лакеи его да	края	края	от	края	до	края	2011	0000	NA	blog	01eg	lj	41	72306	8373		39_383568
27	http://m.livejournal.com/read/user/01eg/129755	Какие в жопу семь ? Я насчитал одинадцать . Сначала ты живешь	от письма до письма	, и это первая волна . Потом от звонка до звонка или	письма	письма	от	письма	до	письма	2012	0000	NA	blog	01eg	lj	41	72306	8380		39_383575
28	http://m.livejournal.com/read/user/01eg/129755	живешь от письма до письма , и это первая волна . Потом	от звонка до звонка	или смса - это вторая . Затем от встречи до встречи - это	звонка	звонка	от	звонка	до	звонка	2012	0000	NA	blog	01eg	lj	41	72306	8380		39_383575
29	http://m.livejournal.com/read/user/01eg/129755	Потом от звонка до звонка или смса - это вторая . Затем	от встречи до встречи	- это третья . Потом вы живете вместе - это четвертая . Затем ты	встречи	встречи	от	встречи	до	встречи	2012	0000	NA	blog	01eg	lj	41	72306	8380		39_383575
30	http://m.livejournal.com/read/user/allar_void/440459	губ и неполученных шрамов ; моё будущее - в том , чтобы метаться	от момента до момента	, сквозь ненависть и любовь , сквозь отчаяние и спокойствие мудрости ; моё	момента	момента	от	момента	до	момента	2012	0000	NA	blog	allar_void	lj	41	72306	2525838		39_388762
31	http://m.livejournal.com/read/user/annabaskakova/544403	незнанию перепутала с " Фаустом " Гете и на всякий случай изучила	от корки до корки	. Но в художественной школе нам показывали на истории искусства , в	корки	корки	от	корки	до	корки	2013	1968	Россия	blog	annabaskakova	lj	41	72306	3328471		39_390050
32	http://m.livejournal.com/read/user/verych/373593/comments/p1	глянцевого журнала ! Я пока болела , прочитала журнал " Лиза - добрые советы "	от корки до корки	. Давно не видела ничего более смешного , очень поднимает настроение .	корки	корки	от	корки	до	корки	2011	1968	Россия	blog	annabaskakova	lj	41	72306	3330128		39_391707
33	http://m.livejournal.com/read/user/elhen_mongoose/5268	люблю всей душой . не люблю дрожать от холода и бегать	от кафешки до кафешки	. Не люблю греть руки своим дыханием и чувствовать как слезинки	кафешки	кафешки	от	кафешки	до	кафешки	2010	0000	Волгоград	blog	elhen_mongoose	lj	41	72306	9807862		39_480097
34	http://m.livejournal.com/read/user/fizzik/142160	означает присутствующий в ней символ логарифма . Интересовался я и физикой :	от корки до корки	прочитал " Занимательную физику " Перельмана . Несмотря на это , я осознавал , что	корки	корки	от	корки	до	корки	2010	0000	Москва	blog	fizzik	lj	41	72306	11288691		39_481882
35	http://m.livejournal.com/read/user/zafeminizm/85284/comments/p1	молоко из крынки , которую она им оставляла . Сама - то вкалывала	от зари до зари	... Но с другой стороны : альфа бывает только одна . И если	зари	зари	от	зари	до	зари	2012	0000	Россия	blog	flor_del_rian	lj	41	72306	11355224		39_483491
36	http://m.livejournal.com/read/user/ibragin/5849	Кубке ШОС . Овсянников и вовсе был признан лучшим защитником , отыграв	от звонка до звонка	весь матч , и в заявку на отчетный поединок не попал	звонка	звонка	от	звонка	до	звонка	2011	1975	Россия	blog	ibragin	lj	41	72306	14196960		39_486281
37	http://m.livejournal.com/read/user/k_kissska/197607	земля словно тяжело вздохнула , затряслась ; загремел гром , молния прорезала небо	от края до края	; послышался треск ; задрожали дома , стены покачнулись ; дождем посыпались камни . Тяжелая	края	края	от	края	до	края	2013	0000	NA	blog	k_kissska	lj	41	72306	16041600		39_489179
38	http://m.livejournal.com/read/user/kandalakshin/37215	огнестрельные ранения : в ногу ( сзади , сверху вниз ) , 4 в грудь (	от плеча до плеча	) пулями , состоящими из 3-х оболочек ( по характеру поражения аналогичных разрывным	плеча	плеча	от	плеча	до	плеча	2006	0000	NA	blog	kandalakshin	lj	41	72306	16217306		39_489683
39	http://m.livejournal.com/read/user/michaelkirilyuk/253489	успели заехать резину поменять - наконец то !!!!))))Узбек шутил , болты крутил)))работяга	от сезона до сезона	круглосуточно , ну молодец конечно , меня не хера не помнит , зато	сезона	сезона	от	сезона	до	сезона	2010	0000	NA	blog	michaelkirilyuk	lj	41	72306	22158260		39_584068
40	http://m.livejournal.com/read/user/michaelkirilyuk/294775	с чем - свободен как птица , закинул вещи и потошнил себе	от подъезда до подъезда	. Расстояние на ура проезжается за 30 часов плюс минус три	подъезда	подъезда	от	подъезда	до	подъезда	2011	0000	NA	blog	michaelkirilyuk	lj	41	72306	22158334		39_584142
41	http://m.livejournal.com/read/user/michaelkirilyuk/307176	был единственный нюанс , так что , по сути выходит 8 часов	от подъезда до подъезда	. Залили до упора первый бак , спросил жену - как лучше через	подъезда	подъезда	от	подъезда	до	подъезда	2011	0000	NA	blog	michaelkirilyuk	lj	41	72306	22158364		39_584172
42	http://m.livejournal.com/read/user/ne_nikitin/1439	опасность стихийных бедствий методом прогулов , неучений и т. д. З.Ы . :	От сессии до сессии	... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... .	сессии	сессии	От	сессии	до	сессии	2006	1987	NA	blog	ne_nikitin	lj	41	72306	24140844		39_587092
43	http://m.livejournal.com/read/user/sofyst/12351	похожим на него ) И все мечтаю перечитать всю Темную башню	от корки до корки	, но никак не решаюсь , ибо уже знаю , что не получу	корки	корки	от	корки	до	корки	2011	0000	Петербург	blog	sofyst	lj	41	72306	31727542		39_689085
44	http://m.livejournal.com/read/user/sonson7787/8558	всё готово , и их плюсом изначально считалась компактность олимпийской инфраструктуры .	От объекта до объекта	- максимум полчаса езды . Но опыта в приеме миллионных армий болельщиков	объекта	объекта	От	объекта	до	объекта	2011	0000	NA	blog	sonson7787	lj	41	72306	31875176		39_689375
45	http://m.livejournal.com/read/user/vladpozdnyakov/147889	ту-204 оренэйр . корыто . ну да ладно , долетел и ок. дорога	от двери до двери	заняла 12 часов . по итогу : турция намного лучше , чем о	двери	двери	от	двери	до	двери	2011	1976	Москва	blog	vladpozdnyakov	lj	41	72306	36262625		39_778435
46	http://m.livejournal.com/read/user/vladpozdnyakov/153717	хаотичности потребления информации качество результата страдает . возможно , чтение опредленных изданий	от корки до корки	изменит ситуацию . да и вообще какое-то желание появилось . к стыду	корки	корки	от	корки	до	корки	2011	1976	Москва	blog	vladpozdnyakov	lj	41	72306	36262643		39_778453
47	http://m.livejournal.com/read/user/vladpozdnyakov/174977	непременно зайти откушать . - поскольку тель - авив пройден пешком по берегу	от порта до порта	и даже дальше и не раз - поперлись вглубь города , в	порта	порта	от	порта	до	порта	2012	1976	Москва	blog	vladpozdnyakov	lj	41	72306	36262710		39_778520
48	http://m.livejournal.com/read/user/_e_cat_/129641	Очень красивая была радуга : яркая , широкая , вся на виду	от края до края	... Сфотографировать только не успели ) Зато Яся прониклась лужами и киданием	края	края	от	края	до	края	2012	0000	Россия	blog	_e_cat_	lj	41	72306	785745		40_2153
49	http://m.livejournal.com/read/user/_e_cat_/132182	радуги показывают - по две , по три сразу ! Иногда они видны	от края до края	, четкие , толстые , словно нарисованные цветными фломастерами . Но . как всегда , я	края	края	от	края	до	края	2012	0000	Россия	blog	_e_cat_	lj	41	72306	785760		40_2168
50	http://m.livejournal.com/read/user/_e_cat_/176811	дверь , будет шкаф-купе до потолка , а слева , где окно , столешница	от края до края	с полками по всему периметру окна . Вот пример полосок и	края	края	от	края	до	края	2013	0000	Россия	blog	_e_cat_	lj	41	72306	785925		40_2333
51	http://m.livejournal.com/read/user/chisporrotear/160251	you ? what do yоu want ? maybe tea ? а чувак улыбаясь	от уха до уха	произносит : " печеееееньки " оказывается тарелочку с традиционным печеньем кофеледи временно переставили	уха	уха	от	уха	до	уха	2013	0000	Москва	blog	chisporrotear	lj	41	72306	8306272		40_14045
52	http://m.livejournal.com/read/user/dr_antidot/940	Нет ресурсов , нет никаких счетов даже в Сбербанке . Люди живут	от получки до получки	, и у них нет никаких возможностей из этого выскочить . Именно	получки	получки	от	получки	до	получки	2008	1900	NA	blog	dr_antidot	lj	41	72306	11247506		40_17923
53	http://m.livejournal.com/read/user/senikalex/145646/comments/p1	Наши сборы , как говорится , были по-уставу .	От звонка до звонка	. Никаких поблажек . Мосты конечно не наводили , а вот понтоны спускали	звонка	звонка	От	звонка	до	звонка	2013	0000	Россия	blog	senikalex	lj	41	72306	37977325		40_81481
54	http://m.livejournal.com/read/user/dakota_bastya/72398/comments/p1	не влезла в кадр , а так да , целая дуга , класс ,	от края до края	= )	края	края	от	края	до	края	2010	0000	Приморский край	blog	simplement_elle	lj	41	72306	39200381		40_83195
55	http://m.livejournal.com/read/user/sovestineeeet/146828	согрело и удивило на столько , что от метро шла улыбаясь	от уха до уха	. Удивительно !	уха	уха	от	уха	до	уха	2009	1987	"Москва, Ростов-на-Дону"	blog	sovestineeeet	lj	41	72306	40312696		40_87421
56	http://m.livejournal.com/read/user/sovestineeeet/148751	всего , удивительно разного , Есть не только дерьмо , но много прекрасного ,	От весны до весны	все печали забудутся , А хорошие сны обезательно сбудутся !!! " \Distemper\	весны	весны	От	весны	до	весны	2009	1987	"Москва, Ростов-на-Дону"	blog	sovestineeeet	lj	41	72306	40312702		40_87427
57	http://m.livejournal.com/read/user/vilo_tess/87865	песня уже много лет http://netmarginal.narod.ru/m_music/TG_Sun.mp3 , чтобы плакать и улыбаться. . шагая	от края до края	осени	края	края	от	края	до	края	2007	1984	Кемерово	blog	vilo_tess	lj	41	72306	45301317		40_96463
58	http://m.livejournal.com/read/user/alena_15/312069/comments/p1	20 лет в Москве	от звонка до звонка	. Училась , работала . Переехала в Питер в 2010 году , с тех	звонка	звонка	от	звонка	до	звонка	2013	0000	Петербург	blog	sabesski	lj	41	72306	37126807		40_177700
